epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,11468.3,0.42002,0.33382,0.90526,0.44714,0.68585,0.50944,0.48391,0.4497,0.70443,0.94576,0.00213506,0.000711687,0.00213506,0.000711687,0.00213506,0.000711687,0.00213506,0.000711687
89,11589,0.40748,0.29694,0.88634,0.44871,0.68585,0.52012,0.49203,0.45608,0.73505,0.95072,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
90,11722,0.42177,0.34053,0.90005,0.45251,0.68113,0.51995,0.49144,0.45856,0.73791,0.94981,0.00209794,0.000699312,0.00209794,0.000699312,0.00209794,0.000699312,0.00209794,0.000699312
91,11844.6,0.41936,0.32026,0.89615,0.44617,0.68247,0.51651,0.48615,0.44893,0.73872,0.95077,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
92,11977.1,0.38755,0.32718,0.8821,0.44922,0.68324,0.536,0.50748,0.44282,0.705,0.95348,0.00206081,0.000686937,0.00206081,0.000686937,0.00206081,0.000686937,0.00206081,0.000686937
93,12100.7,0.41366,0.31651,0.89385,0.45006,0.65833,0.54551,0.5197,0.44998,0.72729,0.95249,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
94,12234.2,0.43513,0.32087,0.92119,0.43899,0.68469,0.52953,0.50465,0.45581,0.79119,0.95897,0.00202369,0.000674562,0.00202369,0.000674562,0.00202369,0.000674562,0.00202369,0.000674562
95,12357.2,0.38702,0.31238,0.90341,0.44152,0.68289,0.51929,0.49235,0.46115,0.7861,0.95866,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
96,12489.9,0.42666,0.31893,0.90767,0.48417,0.63526,0.51971,0.49932,0.45422,0.6905,0.96336,0.00198656,0.000662188,0.00198656,0.000662188,0.00198656,0.000662188,0.00198656,0.000662188
97,12612.9,0.43233,0.31631,0.90314,0.47444,0.66085,0.5044,0.48119,0.45243,0.64585,0.97241,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
98,12744.9,0.41249,0.31689,0.88925,0.449,0.66085,0.51642,0.48432,0.45304,0.73532,0.97117,0.00194944,0.000649813,0.00194944,0.000649813,0.00194944,0.000649813,0.00194944,0.000649813
